1685|C_JSXF_36|特殊建设工程消防验收未依据法律、法规、规章和经审查合格的消防设计文件开展
1686|C_JSXF_36|特殊建设工程以外的其他建设工程消防验收备案现场检查等
1687|C_JSXF_37|对专业建设工程依法实施施工图设计文件审查的部门和单位，未将消防技术审查纳入施工图设计文件审查
1688|C_JSXF_38|县级以上地方人民政府未建立适用于城市更新中既有建筑改造利用规划、建设和消防的审批管理规则等
1689|C_JSXF_38|既有建筑改造利用，未执行现行国家工程建设消防技术标准
1690|C_JSXF_38|存在空间、结构等客观条件限制的，未符合省住房和城乡建设主管部门会同有关部门制定的消防技术要点等
1691|C_JSXF_38|历史文化街区、名镇、名村核心保护范围内的改造利用，设区的市、县（市、区）人民政府未按照管理权限组织编制防火安全保障方案等
1692|C_JSXF_39|生产消防产品和有防火性能要求的建筑构件、建筑材料、室内装修装饰材料的企业，未具有相应的生产技术条件和质量保证体系
1693|C_JSXF_39|消防产品和有防火性能要求的建筑构件、建筑材料、室内装修装饰材料出厂前未经检验合格
1694|C_JSXF_40|机关、团体、企业、事业等单位未定期组织对消防设施、器材进行维护保养和检测，对建筑消防设施每年至少进行一次全面检测等
1695|C_JSXF_40|单位自身不具备维护保养检测能力的等
1696|C_JSXF_40|设置消防控制室的单位未落实消防控制室管理制度，确保及时发现和正确处置火灾报警等
1697|C_JSXF_40|设置消防（员）电梯的单位未组织对消防（员）电梯进行月度检查维护和年度全面测试，保证消防（员）电梯安全可靠运行
1698|C_JSXF_41|住宅区的物业服务企业未对管理区域内的疏散通道、安全出口、建筑消防设施和消防车通道进行维护管理，提供消防安全防范服务
1699|C_JSXF_41|未委托物业服务企业对住宅区物业进行管理的，村民委员会、居民委员会未组织业主、物业使用人签订防火协议等
1700|C_JSXF_41|前款规定以外的其他由两个以上单位管理或者使用的建筑物，管理或者使用单位未明确各方的消防安全责任等
1701|C_JSXF_41|住宅区以及其他由两个以上单位管理或者使用的建筑物的消防车通道、消防车登高操作场地未设置标志，加强日常管理，保持畅通
